DOI,Titel,Feld,Thema,HMD
10.1186/s40691-018-0166-9,How to evoke consumer approach intention toward VR stores? Sequential mediation through telepresence and experiential value,Retail / Marketing,Perception of prodcuts / Advertisement,VR Box
10.1093/iwc/iwz018,Navigation Comparison between a Real and a Virtual Museum: Time-dependent Differences using a Head Mounted Display,Psychology,Movement / Navigation,HTC Vive
10.1016/j.foodres.2018.01.028,Immersive virtual reality technology in a three-dimensional virtual simulated store: Investigating telepresence and usability,Retail / Marketing,Perception of prodcuts / Advertisement,
10.1109/JETCAS.2019.2898750,OmniCast :Wireless Pseudo-Analog Transmission for Omnidirectional Video,Softwareentwicklung,Software development,
10.1037/xlm0000597,Learning-Dependent Evolution of Spatial Representations in Large-Scale Virtual Environments,Psychology / Human factors,Movement / Navigation,Oculus DK2
10.2196/11517,Believing Is Seeing: A Proof-of-Concept Semiexperimental Study on Using Mobile Virtual Reality to Boost the Effects of Interpretation Bias Modification for Anxiety,Psychology,Rehabilitation / Treatment,
10.1364/AO.58.000A74,Progress in virtual reality and augmented reality based on holographic display,Hardwareentwicklung und Evaluation,Image of VR / Use of VR,
10.1016/j.trf.2017.08.005,Driver behavior in mixed and virtual reality - A comparative study,Ingenieurwesen / Physik,Movement / Navigation,Oculus Rift DK2
10.1016/j.jvcir.2019.01.012,A client-based adaptation framework for 360-degree video streaming,Softwareentwicklung,Software development,
10.1089/cyber.2018.0027,Physiological Monitoring During Augmented Reality Exercise Confirms Advantages to Health and Well-Being,,,
10.3758/s13428-018-1116-6,A virtual reality approach identifies flexible inhibition of motion aftereffects induced by head rotation,Psychology / Human factors,Measurement of body functions,
10.1016/j.actpsy.2018.12.005,Influence of route decision-making and experience on human path integration,Psychology,Movement / Navigation,
10.1037/xhp0000597,Full-Body Ownership Illusion Elicited by Visuo-Vestibular Integration,Psychology,Body Illusion,
10.1111/rssa.12381,Visualizing spatiotemporal models with virtual reality: from fully immersive environments to applications in stereoscopic view,Softwareentwicklung,Visualisation,
10.1016/j.jstrokecerebrovasdis.2018.10.018,The Role of Personalized Virtual Reality in Education for Patients Post Stroke-A Qualitative Case Series,Medizin,Training,
10.3389/fnhum.2018.00504,Mimicking Schizophrenia: Reducing P300b by Minimally Fragmenting Healthy Participants' Selves Using Immersive Virtual Reality Embodiment,Psychology,Body Illusion,
10.1007/978-3-030-03635-5_13,"Beacon Virtua: A Virtual Reality Simulation Detailing the Recent and Shipwreck History of Beacon Island, Western Australia",Archv§ologie / Museen,Model design,
10.16910/jemr.12.8.1,VR/AR Head-mounted Display System-based Measurement and Evaluation of Dynamic Visual Acuity,Human Biology,Measurement of body functions,
10.1109/ACCESS.2019.2940073,Beyond Feeling Sick: The Visual and Cognitive Aftereffects of Virtual Reality,Medizin,Cybersickness / Fatigue,
10.1155/2019/9680697,Comparison of Visual Stimuli for Steady-State Visual Evoked Potential-Based Brain-Computer Interfaces in Virtual Reality Environment in terms of Classification Accuracy and Visual Comfort,Human Biology,Control of VR / Human-Computer Interface,
10.1109/ACCESS.2019.2921880,Unequal Error Protection Aided Region of Interest Aware Wireless Panoramic Video,Softwareentwicklung,Software development,
10.1080/15980316.2019.1606859,Full-color computational holographic near-eye display,Hardwareentwicklung und Evaluation,Hardware development,
10.1250/ast.40.265,Effect of auditory and visual stimuli on distance perception presented by head-mounted display and headphone,Human Biology,Perception of Sound,
10.1080/15980316.2019.1572662,"Progress of display performances: AR, VR, QLED, OLED, and TFT",Hardwareentwicklung und Evaluation,Image of VR / Use of VR,
10.1109/ACCESS.2019.2910737,Binocular Phase-Coded Visual Stimuli for SSVEP-Based BCI,Human Biology,Control of VR / Human-Computer Interface,
10.1117/1.JEI.28.1.013019,Equatorial part segmentation model for 360-deg video projection,Softwareentwicklung,Software development,
10.3390/ijgi8010003,Collaborative Immersive Virtual Environments for Education in Geography,Bildungswesen,Collaboration / Interaction,
10.1177/0269215518788598,Long-term effects of vestibular rehabilitation and head-mounted gaming task procedure in unilateral vestibular hypofunction: a 12-month follow-up of a randomized controlled trial,Medizin,Rehabilitation / Treatment,
10.1364/OE.26.034142,"Fast switching, high contrast and high resolution liquid crystal device for virtual reality display",Hardwareentwicklung und Evaluation,Hardware development,
10.1162/PRES_a_00318,A Survey on Simulation Sickness in Driving Applications with Virtual Reality Head-Mounted Displays,Psychology / Human factors,Cybersickness / Fatigue,
10.1016/j.cag.2018.10.006,A comparative evaluation of direct hand and wand interactions on consumer devices,Hardwareentwicklung und Evaluation,Haptics / Physical interaction,HTC Vive
10.1109/TVCG.2017.2778249,Efficient VR and AR Navigation Through Multiperspective Occlusion Management,Psychology,Movement / Navigation,
10.7717/peerj.5847,Effects of mixed reality head-mounted glasses during 90 minutes of mental and manual tasks on cognitive and physiological functions,,,
10.1109/MCG.2018.2875609,"The Office of the Future: Virtual, Portable, and Global",VR Allgemein,Image of VR / Use of VR,
10.1016/j.actpsy.2018.09.009,Incongruent multisensory stimuli alter bodily self-consciousness: Evidence from a first-person perspective experience,Psychology,Body Illusion,
10.1002/jsid.734,Novel MRI hyper-realistic head-up display system for patient comfort,Hardwareentwicklung und Evaluation,Rehabilitation / Treatment,
10.1016/j.cag.2018.07.007,Assessment of an articulatory interface for tactile intercommunication in immersive virtual environments,Hardwareentwicklung und Evaluation,Collaboration / Interaction,
10.17973/MMSJ.2018_11_2017100,VIRTUAL LABORATORY FOR STUDY OF CONSTRUCTION OF MACHINE TOOLS,Manufacturing,Model design,Oculus Rift
10.1016/j.image.2018.05.010,The prediction of head and eye movement for 360 degree images,Softwareentwicklung,Software development,
10.7717/peerj.5844,"Don't worry, be active: how to facilitate the detection of errors in immersive virtual environments",Psychology,Collaboration / Interaction,
10.3389/fnhum.2018.00420,BCI to Potentially Enhance Streaming Images to a VR Headset by Predicting Head Rotation,Softwareentwicklung,Software development,
10.3389/fpsyg.2018.01901,Responding to Other People's Posture: Visually Induced Motion Sickness From Naturally Generated Optic Flow,Psychology,Cybersickness / Fatigue,
10.1145/3238303,Comparison of Unobtrusive Visual Guidance Methods in an Immersive Dome Environment,Psychology,Visual perception,
10.1145/3238301,Foveated Depth-of-Field Filtering in Head-Mounted Displays,Softwareentwicklung,Software development,
10.1002/jsid.708,New fast response in-plane switching liquid crystal mode,Hardwareentwicklung und Evaluation,Hardware development,
10.1109/LRA.2018.2864359,Delay Compensation for a Telepresence System With 3D 360 Degree Vision Based on Deep Head Motion Prediction and Dynamic FoV Adaptation,Softwareentwicklung,Software development,
10.3390/s18092832,A Walking-in-Place Method for Virtual Reality Using Position and Orientation Tracking,Hardwareentwicklung und Evaluation,Movement / Navigation,
10.1002/cav.1805,A shared augmented virtual environment for real-time mixed reality applications,Hardwareentwicklung und Evaluation,Hardware development,
10.1016/j.concog.2018.05.005,The influence of visual and vestibular orientation cues in a clock reading task,Psychology,Visual perception,
10.1167/18.9.1,Creating correct blur and its effect on accommodation,Softwareentwicklung,Visual perception,
10.1111/psyp.13090,Dissociation of frontal-midline delta-theta and posterior alpha oscillations: A mobile EEG study,Psychology,Movement / Navigation,
10.1145/3209661,Designing and Evaluating a Mesh Simplification Algorithm for Virtual Reality,Softwareentwicklung,Software development,
10.1145/3205864,Novel Hybrid-Cast Approach to Reduce Bandwidth and Latency for Cloud-Based Virtual Space,Softwareentwicklung,Software development,
10.1145/3197517.3201335,In the Blink of an Eye - Leveraging Blink-Induced Suppression for Imperceptible Position and Orientation Redirection in Virtual Reality,Softwareentwicklung,Movement / Navigation,
10.1162/leon_a_01641,Inhabitat: An Imaginary Ecosystem in a Children's Science Museum,,,
10.1167/tvst.7.4.2,High-Performance Virtual Reality Volume Rendering of Original Optical Coherence Tomography Point-Cloud Data Enhanced With Real-Time Ray Casting,Softwareentwicklung,Software development,
10.1017/pasa.2018.19,Immersive Virtual Reality Experiences for All-Sky Data,Astronomie,Visualisation,
10.1016/j.ijhcs.2018.02.003,Effects of mixed-reality on players' behaviour and immersion in a cultural tourism game: A cognitive processing perspective,Psychology / Human factors,Visual perception,HoloLens
10.1016/j.ecns.2018.03.001,"Assessing Simulation, Virtual Reality, and Television Modalities in Clinical Training",Medizin,Training,
10.1177/1553350618761756,Artificial Versus Video-Based Immersive Virtual Surroundings: Analysis of Performance and User's Preference,Medizin,Training,
10.1089/cyber.2017.0499,Modulation of Excitability in the Temporoparietal Junction Relieves Virtual Reality Sickness,Human Biology,Cybersickness / Fatigue,
10.1002/cae.21915,VR-embedded BIM immersive system for QS engineering education,Bauwesen / Architektur,Model design,
10.1002/jsid.658,An 18 megapixel 4.3 '' 1443 ppi 120 Hz OLED display for wide field of view high acuity head mounted displays,Hardwareentwicklung und Evaluation,Hardware development,
10.3928/23258160-20180501-08,Ocular Tolerance of Contemporary Electronic Display Devices,Medizin,Visual perception,
10.1002/cav.1838,Empowerment and embodiment for collaborative mixed reality systems,Psychology / Human factors,Collaboration / Interaction,
10.1109/TVCG.2018.2794639,Evaluating Multiple Levels of an Interaction Fidelity Continuum on Performance and Learning in Near-Field Training Simulations,Hardwareentwicklung und Evaluation,Training,Razer Hydra
10.1109/TVCG.2018.2794119,Gaze-Aware Streaming Solutions for the Next Generation of Mobile VR Experiences,Softwareentwicklung,Software development,
10.1109/TVCG.2018.2794071,Parallax360: Stereoscopic 360 degrees Scene Representation for Head-Motion Parallax,Softwareentwicklung,Visualisation,
10.1109/TVCG.2018.2793038,Ascending and Descending in Virtual Reality: Simple and Safe System using Passive Haptics,Hardwareentwicklung und Evaluation,Movement / Navigation,
10.1364/JOSAA.35.00B130,"Correlation between perception of color, shadows, and surface textures and the realism of a scene in virtual reality",Softwareentwicklung,Visualisation,
10.1109/THMS.2017.2782490,Effects of Augmented Reality on the Performance of Teleoperated Industrial Assembly Tasks in a Robotic Embodiment,Manufacturing,Remote Control / Digital Twin,
10.1371/journal.pone.0194137,Influence of bone-conducted vibration on simulator sickness in virtual reality,Human Biology,Cybersickness / Fatigue,
10.1097/01.NEP.0000000000000258,The Student Experience With Varying Immersion Levels of Virtual Reality Simulation,,,
10.1049/iet-ipr.2017.0826,Perceptual video quality metric for compression artefacts: from two-dimensional to omnidirectional,Softwareentwicklung,Visual perception,
10.1364/OE.26.004863,High-resolution additive light field near-eye display by switchable Pancharatnam-Berry phase lenses,Hardwareentwicklung und Evaluation,Hardware development,
10.3389/fneur.2018.00067,Immersive Low-Cost Virtual Reality Treatment for Phantom Limb Pain: Evidence from Two Cases,Medizin,Rehabilitation / Treatment,
10.3389/fneur.2018.00048,The effect of Visual stimuli on stability and complexity of Postural control,Human Biology,Visual perception,
10.1002/jsid.638,An AMOLED pixel circuit for high image quality of 1000ppi mobile displays in AR and VR applications,Hardwareentwicklung und Evaluation,Hardware development,
10.1016/j.jenvp.2018.01.001,Exploring perceived restoration potential of urban green enclosure through immersive virtual environments,Psychology / Human factors,Emotions / Empathy / Fear,
10.1007/s12008-017-0377-0,Improved virtual reality perception with calibrated stereo and variable focus for industrial use,Softwareentwicklung,Software development,
10.1109/TVCG.2017.2658570,Augmented Reality versus Virtual Reality for 3D Object Manipulation,Hardwareentwicklung und Evaluation,Haptics / Physical interaction,Oculus Rift DK2
10.3389/fpsyg.2017.02321,"Experiencing Nature through Immersive Virtual Environments: Environmental Perceptions, Physical Engagement, and Affective Responses during a Simulated Nature Walk",Psychology / Human factors,Emotions / Empathy / Fear,Samsunf S7 on Samsung Gear VR
10.1371/journal.pone.0189275,Missing depth cues in virtual reality limit performance and quality of three dimensional reaching movements,Hardwareentwicklung und Evaluation,Haptics / Physical interaction,HTC Vive
10.1080/15420353.2018.1498427,"From Archive, to Access, to Experience-Historical Documents as a Basis for Immersive Experiences",Archv§ologie / Museen,Model design,
10.3991/ijoe.v14i05.7788,Disseminating Civil Engineering through Virtual Reality: An Immersive Interface,Bildungswesen,Model design,
10.1080/17503280.2018.1503859,Touring the 'World Picture': virtual reality and the tourist gaze,Retail / Marketing,Image of VR / Use of VR,
10.1080/17571472.2018.1483000,Using virtual reality to train emotional and social skills in children with autism spectrum disorder,Psychology / Human factors,Rehabilitation / Treatment,
10.1155/2018/2585797,Immersive Gesture Interfaces for Navigation of 3D Maps in HMD-Based Mobile Virtual Environments,Hardwareentwicklung und Evaluation,Control of VR / Human-Computer Interface,
10.3991/ijoe.v14i03.8112,VR Interactive Feature of HTML5-based WebVR Control Laboratory by Using Head-mounted Display,Softwareentwicklung,Model design,
10.1155/2018/4798359,BCI and FES Based Therapy for Stroke Rehabilitation Using VR Facilities,Medizin,Rehabilitation / Treatment,Oculus Rift
10.1109/TOH.2017.2741488,Multimodal Evaluation of the Differences between Real and Virtual Assemblies,Ergonomie,Assembly,nVisor HMD
10.3103/S1068335618010049,Requirements for Optical Systems for Virtual Displays,Human Biology,Evaluation of VR systems,
10.1016/j.displa.2018.01.002,Effects of display type and motion control on cybersickness in a virtual bike simulator,Hardwareentwicklung und Evaluation,Cybersickness / Fatigue,
10.1016/j.autcon.2017.10.009,Zero latency: Real-time synchronization of BIM data in virtual reality for collaborative decision-making,Softwareentwicklung,Collaboration / Interaction,
10.1007/s11277-017-4954-0,Effect of Interaction Based on Augmented Context in Immersive Virtual Reality Environment,VR Allgemein,Model design,
10.1111/jspn.12201,Effectiveness of a virtual reality intervention to minimize pediatric stress and pain intensity during venipuncture,Medizin,Perception of Pain / Discomfort,
10.1038/s41598-017-18289-8,Orientation in Virtual Reality Does Not Fully Measure Up to the Real-World,Psychology / Human factors,Movement / Navigation,Oculus Rift DK2
10.1109/JSEN.2017.2762704,Hybrid PS-V Technique: A Novel Sensor Fusion Approach for Fast Mobile Eye-Tracking With Sensor-Shift Aware Correction,Hardwareentwicklung und Evaluation,Measurement of body functions,
10.1371/journal.pone.0187220,Fear of falling and postural reactivity in patients with glaucoma,Medizin,Balance,Oculus Rift
10.3390/technologies5040077,Motion Instruction Method Using Head Motion-Associated Virtual Stereo Rearview,Hardwareentwicklung und Evaluation,Visual perception,
10.1109/JSYST.2015.2410533,Development of a Three-Dimensional Multimode Visual Immersive System With Applications in Telepresence,Hardwareentwicklung und Evaluation,Hardware development,
10.1097/MRR.0000000000000244,Three-dimensional head-mounted gaming task procedure maximizes effects of vestibular rehabilitation in unilateral vestibular hypofunction: a randomized controlled pilot trial,Medizin,Rehabilitation / Treatment,
10.1038/s41598-017-16316-2,A Deep-Dream Virtual Reality Platform for Studying Altered Perceptual Phenomenology,Psychology / Human factors,Visual perception,
10.1371/journal.pone.0187777,Meditation experts try Virtual Reality Mindfulness: A pilot study evaluation of the feasibility and acceptability of Virtual Reality to facilitate mindfulness practice in people attending a Mindfulness conference.,Psychology / Human factors,Training,Oculus Rift
10.26687/archnet-ijar.v11i3.1395,VIRTUAL WOLVERHAMPTON: RECREATING THE HISTORIC CITY IN VIRTUAL REALITY,Archv§ologie / Museen,Model design,
10.1016/j.fusengdes.2017.03.131,Minimising operator dose during JET shutdown using virtual,Ingenieurwesen / Physik,Visualisation,
10.2352/J.ImagingSci.Technol.2017.61.6.060406,Display Infrastructure for Virtual Environments,Hardwareentwicklung und Evaluation,Hardware development,
10.1109/TVCG.2017.2735098,Cognitive Cost of Using Augmented Reality Displays,,,
10.1007/s00104-017-0465-5,"I will do laparoscopy somewhere else. Total, highly immersive virtual reality without side effects?",,,
10.1007/s00464-017-5500-6,New dimensions in surgical training: immersive virtual reality laparoscopic simulation exhilarates surgical staff,Medizin,Training,HTC Vive
10.1016/j.cmpb.2017.08.008,Motion Rehab AVE 3D: A VR-based exergame for post-stroke rehabilitation,Medizin,Rehabilitation / Treatment,
10.1145/3106155,Perceived Space in the HTC Vive,Hardwareentwicklung und Evaluation,Visual perception,HTC Vive
10.1002/ase.1696,The Effectiveness of Virtual and Augmented Reality in Health Sciences and Medical Anatomy,Medizin,Training,
10.1097/SLA.0000000000002448,Mixed Reality in Visceral Surgery Development of a Suitable Workflow and Evaluation of Intraoperative Use-cases,Medizin,Rehabilitation / Treatment,
10.1016/j.apergo.2017.03.007,Efficacy of virtual reality in pedestrian safety research,Ergonomie,Visual perception,HTC Vive
10.1212/WNL.0000000000004585,Virtual reality improves embodiment and neuropathic pain caused by spinal cord injury,Medizin,Perception of Pain / Discomfort,
10.3807/COPP.2017.1.5.474,Tolerance Analysis of Focus-adjustable Head-mounted Displays,Hardwareentwicklung und Evaluation,Evaluation of VR systems,
10.1038/s41598-017-13153-1,Visuo-acoustic stimulation that helps you to relax: A virtual reality setup for patients in the intensive care unit,Medizin,Perception of Pain / Discomfort,
10.1038/lsa.2017.81,Automated design of freeform imaging systems,,,
10.20965/jdr.2017.p0882,Development of a Virtual Reality Experience System for Interior Damage Due to an Earthquake - Utilizing E-Defense Shake Table Test -,Ingenieurwesen / Physik,Model design,
10.1089/cyber.2017.0174,Beat the Fear of Public Speaking: Mobile 360 degrees Video Virtual Reality Exposure Training in Home Environment Reduces Public Speaking Anxiety,Psychology / Human factors,Training,
10.1002/alr.21986,Immersive virtual reality as a teaching tool for neuroanatomy,Medizin,Training,Oculus Rift
10.3389/fnhum.2017.00477,Walking through Architectural Spaces: The Impact of Interior Forms on Human Brain Dynamics,Bauwesen / Architektur,Visual perception,
10.3389/fpsyg.2017.01611,The Use of Virtual Reality Facilitates Dialectical Behavior Therapy (R) "Observing Sounds and Visuals" Mindfulness Skills Training Exercises for a Latino Patient with Severe Burns: A Case Study,Psychology / Human factors,Rehabilitation / Treatment,Oculus Rift
10.3389/frobt.2017.00042,Wearable Vibrotactile Haptic Device for Stiffness Discrimination during Virtual Interactions,Hardwareentwicklung und Evaluation,Haptics / Physical interaction,Oculus Rift
10.17083/ijsg.v4i3.178,Evaluation of Visuo-Spatial Perspective Taking Skills using a Digital Game with Different Levels of Immersion,Psychology / Human factors,Visual perception,
10.1002/cav.1727,Exploitation of multiplayer interaction and development of virtual puppetry storytelling using gesture control and stereoscopic devices,Bildungswesen,Haptics / Physical interaction,
10.1007/s00464-016-5379-7,OR fire virtual training simulator: design and face validity,Medizin,Training,
10.1007/s00006-016-0689-3,A Conformal Geometric Algebra Code Generator Comparison for Virtual Character Simulation in Mixed Reality,Softwareentwicklung,Software development,
10.1109/TNSRE.2016.2626391,Local and Remote Cooperation With Virtual and Robotic Agents: A P300 BCI Study in Healthy and People Living With Spinal Cord Injury,Hardwareentwicklung und Evaluation,Control of VR / Human-Computer Interface,
10.1167/17.9.11,Comparison of view-based and reconstruction-based models of human navigational strategy,Psychology / Human factors,Movement / Navigation,
10.1109/TVCG.2016.2601607,"Amplified Head Rotation in Virtual Reality and the Effects on 3D Search, Training Transfer, and Spatial Orientation",Psychology / Human factors,Visual perception,
10.1109/TVCG.2016.2586071,Extended LazyNav: Virtual 3D Ground Navigation for Large Displays and Head-Mounted Displays,Hardwareentwicklung und Evaluation,Movement / Navigation,
10.1145/3072959.3073645,Low-Cost 360 Stereo Photography and Video Capture,Hardwareentwicklung und Evaluation,Visualisation,
10.1016/j.ijmst.2017.05.005,Head-mounted display-based intuitive virtual reality training system for the mining industry,Mining,Training,
10.3813/AAA.919086,Interactive Soundscapes: 360 degrees-Video Based Immersive Virtual Reality in a Tool for the Participatory Acoustic Environment Evaluation of Urban Areas,Softwareentwicklung,Perception of Sound,
10.1016/j.displa.2017.01.002,Correlating reaction time and nausea measures with traditional measures of cybersickness,Human Biology,Cybersickness / Fatigue,
10.1145/3072959.3073624,Holographic Near-Eye Displays for Virtual and Augmented Reality,Hardwareentwicklung und Evaluation,Hardware development,
10.1186/s12886-017-0501-8,Amblyopia treatment of adults with dichoptic training using the virtual reality oculus rift head mounted display: preliminary results,Medizin,Rehabilitation / Treatment,Oculus Rift
10.1016/j.entcom.2017.04.004,Controlling VR games: control schemes and the player experience,Hardwareentwicklung und Evaluation,Haptics / Physical interaction,
10.1007/s12193-016-0236-5,Diegetic user interfaces for virtual environments with HMDs: a user experience study with oculus rift,Softwareentwicklung,Visual perception,Oculus Rift
10.1007/s00221-017-4929-0,Control of vertical posture while elevating one foot to avoid a real or virtual obstacle,Ergonomie,Movement / Navigation,"iWear VR920, Vuzix Corp."
10.1177/2041669517708205,The Accuracy and Precision of Position and Orientation Tracking in the HTC Vive Virtual Reality System for Scientific Research,Hardwareentwicklung und Evaluation,Tracking / Motion Capturing (Evaluation),HTC Vive
10.3390/s17051112,Photosensor-Based Latency Measurement System for Head-Mounted Displays,Hardwareentwicklung und Evaluation,Hardware development,
10.1109/TVCG.2016.2527649,Extrafoveal Video Extension for an Immersive Viewing Experience,Hardwareentwicklung und Evaluation,Visual perception,
10.1080/0144929X.2016.1264483,Effects of using a force feedback haptic augmented simulation on the attitudes of the gifted students towards studying chemical bonds in virtual reality environment,Bildungswesen,Haptics / Physical interaction,
10.1177/2049463717698349,Contextual modulation of pain sensitivity utilising virtual environments,Medizin,Perception of Pain / Discomfort,
10.1111/ejn.13545,Visual appearance of a virtual upper limb modulates the temperature of the real hand: a thermal imaging study in Immersive Virtual Reality,Human Biology,Body Illusion,
10.1016/j.ijhcs.2017.01.002,Mortality salience in virtual reality experiences and its effects on users' attitudes towards risk,Psychology / Human factors,Emotions / Empathy / Fear,
10.1109/JPROC.2017.2648796,Enabling Focus Cues in Head-Mounted Displays,Hardwareentwicklung und Evaluation,Cybersickness / Fatigue,
10.1038/srep45469,Visuomotor adaptation in head-mounted virtual reality versus conventional training,Psychology / Human factors,Training,Oculus Rift DK2
10.7358/neur-2017-021-lean,Consumer Neuroscience: the traditional and VR TV Commercial,Retail / Marketing,Perception of prodcuts / Advertisement,
10.1109/TVCG.2017.2656979,The Problem of Persistence with Rotating Displays,Softwareentwicklung,Visual perception,
10.1109/TVCG.2017.2657238,Designing a Vibrotactile Head-mounted Display for Spatial Awareness in 3D Spaces,Hardwareentwicklung und Evaluation,Hardware development,
10.1109/TVCG.2017.2657139,Scaled Jump in Gravity-reduced Virtual Environments,Ingenieurwesen / Physik,Hardware development,
10.1109/TVCG.2017.2656958,Earthquake Safety Training through Virtual Drills,Psychology / Human factors,Training,
10.1371/journal.pone.0173972,HTC Vive MeVisLab integration via OpenVR for medical applications,Medizin,Model design,HTC Vive
10.3389/frobt.2017.00011,Stereoscopic First Person View System for Drone Navigation,Ingenieurwesen / Physik,Remote Control / Digital Twin,
10.7776/ASK.2017.36.2.130,Interactive sound experience interface based on virtual concert hall,,,
10.1007/s10055-016-0296-6,A virtual reality keyboard with realistic haptic feedback in a fully immersive virtual environment,Hardwareentwicklung und Evaluation,Haptics / Physical interaction,
10.1007/s00221-016-4846-7,The virtual reality head-mounted display Oculus Rift induces motion sickness and is sexist in its effects,Human Biology,Cybersickness / Fatigue,Oculus Rift
10.1016/j.autneu.2016.12.004,Profiling subjective symptoms and autonomic changes associated with cybersickness,Human Biology,Cybersickness / Fatigue,
10.3389/fnhum.2017.00079,Manipulating Bodily Presence Affects Cross-Modal Spatial Attention: A Virtual-Reality-Based ERP Study,Psychology / Human factors,Body Illusion,
10.1186/s12984-017-0225-2,Walking in fully immersive virtual environments: an evaluation of potential adverse effects in older adults and individuals with Parkinson's disease,Medizin,Rehabilitation / Treatment,Oculus Rift
10.3389/frobt.2017.00003,Immersive Mixed Reality for Manufacturing Training,Manufacturing,Training,
10.15675/gepros.v12i1.1605,Design and development of an immersive virtual environment for teaching of the superposition of movements principle for engineering students,,,
10.1088/1748-3190/12/1/014001,Human-in-the-loop active electrosense,Ingenieurwesen / Physik,Visualisation,
10.1109/THMS.2016.2611824,Metaphoric Hand Gestures for Orientation-Aware VR Object Manipulation With an Egocentric Viewpoint,Softwareentwicklung,Control of VR / Human-Computer Interface,
10.1016/j.ijinfomgt.2016.04.017,A content service deployment plan for metaverse museum exhibitions-Centering on the combination of beacons and HMDs,Archv§ologie / Museen,Visualisation,
10.5277/ABB-00784-2016-02,Influence of changing frequency and various sceneries on stabilometric parameters and on the effect of adaptation in an immersive 3D virtual environment,Human Biology,Visual perception,
10.1080/01691864.2016.1264885,Development of VR platform for cloud-based neurorehabilitation and its application to research on sense of agency and ownership,Medizin,Body Illusion,
10.1016/j.apergo.2016.06.014,Cybersickness without the wobble: Experimental results speak against postural instability theory,Human Biology,Cybersickness / Fatigue,
10.14742/ajet.3840,Virtualisation devices for student learning: Comparison between desktop-based (Oculus Rift) and mobile-based (Gear VR) virtual reality in medical and health science education,Medizin,Training,Gear VR & Oculus Rift
10.1016/j.displa.2016.11.001,Vection and cybersickness generated by head-and-display motion in the Oculus Rift,Human Biology,Cybersickness / Fatigue,
10.1080/13682199.2017.1355090,Virtual figure model crafting with VR HMD and Leap Motion,Psychology / Human factors,Model design,
10.1080/14606925.2017.1352966,Experiencing Technology Enabled Empathy Mapping,Design,Model design,
10.1080/10749357.2017.1351069,Validation of an immersive virtual reality system for training near and far space neglect in individuals with stroke: a pilot study,Medizin,Rehabilitation / Treatment,
10.16910/jemr.10.5.2,A Quality-Centered Analysis of Eye Tracking Data in Foveated Rendering,Hardwareentwicklung und Evaluation,Visual perception,Oculus Rift DK2
10.11621/pir.2017.0310,The application of virtual reality technology to testing resistance to motion sickness,Psychology / Human factors,Cybersickness / Fatigue,
10.2147/CIA.S141251,Assessing balance through the use of a low-cost head-mounted display in older adults: a pilot study,Medizin,Balance,
10.5937/fmet1702205S,Immersive Virtual Reality Course at the Digital Production Studies,,,
10.3991/ijet.v12i05.6766,Design of Immersive Virtual Reality System to Improve Communication Skills in Individuals with Autism,Bildungswesen,Model design,
10.1080/17483107.2016.1176259,Training wheelchair navigation in immersive virtual environments for patients with spinal cord injury - end-user input to design an effective system,Medizin,Movement / Navigation,Oculus Rift
10.1016/j.culher.2016.09.003,Access to complex reality-based 3D models using virtual reality solutions,Archv§ologie / Museen,Visualisation,Oculus Rift
10.1002/ejp.910,Restoring movement representation and alleviating phantom limb pain through short-term neurorehabilitation with a virtual reality system,Medizin,Body Illusion,
10.6035/2174-0992.2017.13.12,Innovative Experiences in Interactive Devices applied to videogames: The Oculus Rift Case,,,
10.1016/j.apergo.2016.05.003,Immersion factors affecting perception and behaviour in a virtual reality power wheelchair simulator,Ergonomie,Movement / Navigation,
10.1371/journal.pone.0167523,The Impact of Virtual Reality on Chronic Pain,Medizin,Perception of Pain / Discomfort,
10.3389/frobt.2016.00074,Enhancing Our Lives with Immersive Virtual Reality,,,
10.1109/JDT.2016.2617889,Overlapped-Area Removal-Based Image Interpolation for Head-Mounted Displays,Softwareentwicklung,Visualisation,
10.1115/1.4033230,Freehand Gesture and Tactile Interaction for Shape Design,Softwareentwicklung,Visualisation,
10.1038/srep37016,Using the virtual reality device Oculus Rift for neuropsychological assessment of visual processing capabilities,Medizin,Measurement of body functions,Oculus Rift
10.18421/TEM54-04,Interactive Scientific Visualization in 3D Virtual Reality Model,Softwareentwicklung,Visualisation,
10.1145/2980179.2980252,High-Fidelity Facial and Speech Animation for VR HMDs,Softwareentwicklung,Visualisation,
10.1145/2980179.2980246,Towards Foveated Rendering for Gaze-Tracked Virtual Reality,Softwareentwicklung,Visualisation,
10.1007/s10055-016-0292-x,Individual differences in virtual reality: Are spatial presence and spatial ability linked?,Human Biology,Visual perception,Oculus Rift DK2
10.1007/s10055-016-0295-7,A questionnaire for measuring presence in virtual environments: factor analysis of the presence questionnaire and adaptation into Brazilian Portuguese,Psychology / Human factors,Measurement of body functions,
10.1145/2983530,Examining The Role of Smart TVs and VR HMDs in Synchronous At-a-Distance Media Consumption,Psychology / Human factors,Collaboration / Interaction,
10.1007/s11528-016-0085-9,A Framework for Aligning Instructional Design Strategies with Affordances of CAVE Immersive Virtual Reality Systems,Softwareentwicklung,Model design,
10.3389/fpsyg.2016.01649,"Non-hierarchical Influence of Visual Form, Touch, and Position Cues on Embodiment, Agency, and Presence in Virtual Reality",Psychology / Human factors,Body Illusion,Oculus Rift
